,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC
ENSG00000162645,2257.94252330522,-4.03318755860808,0.390189814385857,-10.3364757610502,4.81936116622932e-25,3.06654166058591e-23,4.03318755860808,-16.3723278736781
ENSG00000162654,1023.01361342871,-3.54925926373006,0.422404449672911,-8.40251390930762,4.37020570047323e-17,1.19991081629888e-15,3.54925926373006,-11.7066733585733
ENSG00000162695,1162.60020399563,-1.28674854199539,0.150918515146918,-8.52611451115027,1.51345446447956e-17,4.36470105271731e-16,1.28674854199539,-2.43977573689819
ENSG00000162711,585.853055124107,-1.05488752202053,0.193377045179948,-5.45508139830607,4.89504168294387e-08,3.4486099167594e-07,1.05488752202053,-2.07755622611475
ENSG00000162714,129.019919099885,-1.16485060391869,0.236990955928867,-4.91516901711776,8.87058971311581e-07,4.9069784677981e-06,1.16485060391869,-2.24209996679786
ENSG00000162723,19.8199620050186,-1.47119633697762,0.588061193724032,-2.50177422465328,0.012357270136785,0.0265609527551343,1.47119633697762,-2.77251705864549
ENSG00000162745,405.816713993711,3.48796464737259,0.45537510773381,7.65954174511331,1.86597690641775e-14,3.55629766665291e-13,3.48796464737259,11.2197190673343
ENSG00000162777,919.317454779703,-1.16047301061788,0.166767482366009,-6.95862882951581,3.43600449063561e-12,4.68496485310474e-11,1.16047301061788,-2.23530703713792
ENSG00000162851,201.915785217254,-1.02211448895189,0.136175127566934,-7.5058823679052,6.10161914868591e-14,1.06965119361657e-12,1.02211448895189,-2.03089336235852
ENSG00000162882,40.435630302159,-1.11042074856135,0.306508889510229,-3.62280112115407,0.000291429891705536,0.000966290564557698,1.11042074856135,-2.1590860585222
ENSG00000162891,43.7527689018583,-3.18857051910927,0.631352070110294,-5.05038419934577,4.40922340629766e-07,2.57905256245796e-06,3.18857051910927,-9.11707168483123
ENSG00000162892,1048.99761696394,3.20484755642554,0.773668678437216,4.14240313165995,3.43685544820509e-05,0.000139210588144542,3.20484755642554,9.22051642935746
ENSG00000162897,21.588335102189,-4.9639313004526,0.701222693171058,-7.07896556799209,1.45234461800795e-12,2.10940777489899e-11,4.9639313004526,-31.2098885530121
ENSG00000162909,3709.30135768629,-1.76571316730078,0.15081370553994,-11.7079091782754,1.16107521399654e-31,1.46979900247604e-29,1.76571316730078,-3.40042051070013
ENSG00000162910,47.507871033664,1.19953074944769,0.221582204434826,5.41347962715348,6.18116300461898e-08,4.26965343443698e-07,1.19953074944769,2.29664958094764
ENSG00000162924,1928.43626447326,-2.01514008911982,0.328190472692657,-6.14015413849917,8.24414455498884e-10,7.69155022639998e-09,2.01514008911982,-4.04219827395746
ENSG00000162961,161.006558392179,1.13466370697234,0.172053033390803,6.5948486034248,4.25690038121175e-11,4.88021772969042e-10,1.13466370697234,2.19567375512693
ENSG00000163001,61.1185007470723,1.27153812158337,0.205894706694121,6.1756717401792,6.58827458067307e-10,6.26328775550785e-09,1.27153812158337,2.41418815756956
ENSG00000163002,92.3565005831949,-1.07085889498277,0.22531100208171,-4.75280339215047,2.00615408153181e-06,1.04232284554581e-05,1.07085889498277,-2.10068361736704
ENSG00000163082,5995.88943600429,-1.26358967742125,0.183675052420732,-6.87948450683893,6.00695302828044e-12,7.80968833709195e-11,1.26358967742125,-2.40092390163121
ENSG00000163121,50.8553856726581,-5.72308404979514,0.57875584419814,-9.88859828745991,4.66514027173445e-23,2.51582856089141e-21,5.72308404979514,-52.822623441972
ENSG00000163131,46045.7755076402,-1.3850839665146,0.325721952952718,-4.25235067504234,2.11538266462094e-05,8.96707505277809e-05,1.3850839665146,-2.61187158369151
ENSG00000163219,1058.04326366097,-1.12465031224753,0.3743595421274,-3.00419833258796,0.0026628167907822,0.00696607237893121,1.12465031224753,-2.18048688378585
ENSG00000163220,9405.19101525626,2.4325594190788,0.231522995562106,10.506772397156,8.03981316217768e-26,5.58883197042479e-24,2.4325594190788,5.39850305379169
ENSG00000163221,193.929673072525,3.29114820198836,0.414545700811253,7.93916857790995,2.03540982059903e-15,4.44243892967767e-14,3.29114820198836,9.78890985090895
ENSG00000163235,356.619090603584,1.66377052708948,0.444006900322887,3.74717268105421,0.000178838975666969,0.00062051861551384,1.66377052708948,3.16843523705853
ENSG00000163297,1866.35443525273,-1.36219668735824,0.304557369472442,-4.47270965637066,7.72346136607e-06,3.60009094528519e-05,1.36219668735824,-2.57076313163868
ENSG00000163328,31.2507216066287,-1.1405936156698,0.486358182442155,-2.34517204983069,0.0190183013359459,0.0386537251759482,1.1405936156698,-2.20471720476413
ENSG00000163346,229.152610189276,1.34917124821704,0.225374917258084,5.98634162413053,2.14613361052379e-09,1.87841359535365e-08,1.34917124821704,2.54765734018955
ENSG00000163393,158.111861659936,2.3152044095886,0.235837324852242,9.81695501778242,9.51749627689978e-23,4.93350906146538e-21,2.3152044095886,4.97675169893526
ENSG00000163453,72.6405569151226,-1.37970240274282,0.22925209435742,-6.01827611045406,1.7628431824264e-09,1.5634182973348e-08,1.37970240274282,-2.60214688804157
ENSG00000163482,18.547658101903,1.76221055578477,0.396504726115723,4.44436204594054,8.81530502446742e-06,4.08212777143801e-05,1.76221055578477,3.39217489726872
ENSG00000163516,56.8010149094574,1.40867831861869,0.243791315320066,5.77821370203152,7.54978777052804e-09,6.12643371986304e-08,1.40867831861869,2.65493827242575
ENSG00000163535,44.8396698835262,1.13611790775506,0.32968384040292,3.44608309089873,0.000568775444682795,0.00174938452628013,1.13611790775506,2.19788805555148
ENSG00000163563,720.901835822468,-1.49032749796351,0.356522033097856,-4.18018343779179,2.91274035710806e-05,0.000120290575324799,1.49032749796351,-2.8095274538777
ENSG00000163564,17.0710978520695,-1.6900468430364,0.675648555490548,-2.50136972735679,0.0123713948017933,0.02657706214476,1.6900468430364,-3.22667180237714
ENSG00000163565,1546.08504079483,-1.04750745063808,0.272106241261248,-3.84962669647983,0.000118297981067001,0.000427736476341478,1.04750745063808,-2.06695567433348
ENSG00000163568,12.0735342271939,-1.9638958977901,0.44329203153108,-4.43025310201727,9.4122553363409e-06,4.34350662604895e-05,1.9638958977901,-3.90114033687169
ENSG00000163597,407.434993064718,-1.53586937104288,0.221383945872129,-6.9375824204073,3.98866627014535e-12,5.35353800946072e-11,1.53586937104288,-2.89963110650201
ENSG00000163605,1905.35768530304,-1.58518197632946,0.128723144586595,-12.3146616827953,7.55312508285015e-35,1.37627094312661e-32,1.58518197632946,-3.00045642141386
ENSG00000163624,15.894342573874,1.48862394140917,0.462917861498488,3.21574098824016,0.00130108203238638,0.00367382308557845,1.48862394140917,2.80621187845658
ENSG00000163644,280.853799049938,-2.30492199597664,0.321018858014501,-7.18002054531178,6.97009438069848e-13,1.06780070092076e-11,2.30492199597664,-4.94140736794265
ENSG00000163661,5215.80609988284,-3.6437475683023,0.365682779902211,-9.96423066264341,2.18559391397676e-23,1.21684964858725e-21,3.6437475683023,-12.4990589020864
ENSG00000163683,496.872463841555,1.4043638464392,0.146064084227781,9.6147102408087,6.93042030279871e-22,3.24300523585437e-20,1.4043638464392,2.64701036936404
ENSG00000163686,211.738778856681,1.86252095498185,0.251641154317813,7.40149583255193,1.34658905312743e-13,2.25858855689128e-12,1.86252095498185,3.63642533639223
ENSG00000163702,47.5999202395929,1.05716055808854,0.253380091833653,4.17223212146666,3.01630119056035e-05,0.000124098659314672,1.05716055808854,2.08083209676638
ENSG00000163704,10.9713672262062,2.08601645097103,0.638818273745618,3.26543014923474,0.00109297958874973,0.0031370340177337,2.08601645097103,4.24574124947366
ENSG00000163735,49516.6005175703,6.34353566939808,0.293117852420347,21.6415875628793,7.2947983930089e-104,2.92424151581084e-100,6.34353566939808,81.207196007635
ENSG00000163736,1951.9326093746,7.03288756208147,0.711621287060466,9.88290779092994,4.93788525297805e-23,2.63924480232507e-21,7.03288756208147,130.95138989734
ENSG00000163755,507.638167672233,1.67926932991263,0.163608963504912,10.2639201052222,1.02460902511359e-24,6.31894776205952e-23,1.67926932991263,3.20265707571971
ENSG00000163811,528.198212851865,-1.28687720020201,0.120122709405441,-10.713021763924,8.84274595193062e-27,6.88109801819778e-25,1.28687720020201,-2.43999332353909
ENSG00000163814,35.314000952963,3.3417496119867,0.718666315503868,4.64993215890986,3.32044232024051e-06,1.65416898687707e-05,3.3417496119867,10.1383404563394
ENSG00000163840,2588.09196951839,-1.71078198560031,0.290648591974426,-5.88608385810052,3.95453720157601e-09,3.316406163609e-08,1.71078198560031,-3.27338202836959
ENSG00000163874,1792.859224948,-1.02729974887753,0.407590681162862,-2.52042010859186,0.0117214843374423,0.0253666673820552,1.02729974887753,-2.03820582745029
ENSG00000163918,31.1527846096669,1.31225856092032,0.307720172731988,4.26445412814469,2.00391506316208e-05,8.5336694580691e-05,1.31225856092032,2.48330000211849
ENSG00000163938,462.081937409421,-1.32314537075517,0.140524028052679,-9.41579450212708,4.69517910408691e-21,1.99520225815368e-19,1.32314537075517,-2.50211026848506
ENSG00000163975,86.4095740678463,-1.0517900757397,0.257045533372877,-4.09184342532009,4.27957577785049e-05,0.00016991145032826,1.0517900757397,-2.07310052653218
ENSG00000164038,28.9078648174455,-2.2340842142626,0.400332738980268,-5.58056835409786,2.39733914332672e-08,1.7907081079284e-07,2.2340842142626,-4.70463961650633
ENSG00000164048,85.0418829552602,1.1465312653241,0.268813200376872,4.26515983484698,1.99759145719009e-05,8.51578690683022e-05,1.1465312653241,2.21380978062065
ENSG00000164081,251.145527478012,1.12342827380566,0.193247278067425,5.8134235319666,6.12079384707901e-09,5.03823865879344e-08,1.12342827380566,2.17864067894519
ENSG00000164086,112.044280653388,1.19097846566425,0.230089254606661,5.17615856377225,2.26500978698836e-07,1.40536447858368e-06,1.19097846566425,2.28307533575714
ENSG00000164087,24.2454497992721,1.3074675993391,0.309541191868555,4.22388888356516,2.40122472931322e-05,0.000100968981100422,1.3074675993391,2.47506703414122
ENSG00000164088,623.290861189274,1.32411859223515,0.222743618382977,5.94458598566226,2.77156455572445e-09,2.38588656744039e-08,1.32411859223515,2.5037987257949
ENSG00000164104,277.195788677076,1.39057963026957,0.174610901520918,7.96387635684351,1.66731864241975e-15,3.67911449426421e-14,1.39057963026957,2.62183997038994
ENSG00000164134,944.914526554427,-1.24271253651899,0.16673817521287,-7.45307746670762,9.11877030680315e-14,1.55991936998029e-12,1.24271253651899,-2.36643047460133
ENSG00000164163,1413.20401291607,-1.44602907007917,0.197803749052097,-7.31042296725284,2.66302782584583e-13,4.29297220289838e-12,1.44602907007917,-2.72457096840625
ENSG00000164169,63.8578703798046,1.45049534287393,0.206291081408468,7.03130417936908,2.04611881505258e-12,2.90172463087527e-11,1.45049534287393,2.73301872215941
ENSG00000164181,1736.16432803518,-1.25737494593534,0.178526537291776,-7.04307026288391,1.88049339050956e-12,2.68265877986572e-11,1.25737494593534,-2.39060362945961
ENSG00000164211,688.691719031313,-1.89345342881013,0.302352251541644,-6.26240889279218,3.79075359658479e-10,3.75206607016697e-09,1.89345342881013,-3.71523489770574
ENSG00000164220,26.7854705493857,2.4450212128699,0.46989950837131,5.20328531805542,1.95795909675935e-07,1.2295778641059e-06,2.4450212128699,5.44533653168254
ENSG00000164236,261.923743048373,-1.39817250568143,0.306776887852786,-4.55762008496668,5.17365112336403e-06,2.49272149076826e-05,1.39817250568143,-2.63567503710616
